2026-01-18 11:46:29,326 | DEBUG | chunk_iCCP:434 | iCCP profile name b'kCGColorSpaceDisplayP3_PQ'
2026-01-18 11:46:29,326 | DEBUG | chunk_iCCP:436 | Compression method 0
2026-01-18 11:46:29,326 | DEBUG | call:204 | STREAM b'cICP' 4817 4
2026-01-18 11:46:29,326 | DEBUG | _open:787 | b'cICP' 4817 4 (unknown)
2026-01-18 11:46:29,326 | DEBUG | call:204 | STREAM b'eXIf' 4833 2844
2026-01-18 11:46:29,326 | DEBUG | call:204 | STREAM b'pHYs' 7689 9
2026-01-18 11:46:29,326 | DEBUG | call:204 | STREAM b'iTXt' 7710 8494
2026-01-18 11:46:29,326 | DEBUG | call:204 | STREAM b'IDAT' 16216 16384
2026-01-18 11:46:29,326 | DEBUG | load:941 | tag: Make (271) - type: string (2) Tag Location: 22 - Data Location: 146 - value: b'Apple\x00'
2026-01-18 11:46:29,326 | DEBUG | load:941 | tag: Model (272) - type: string (2) Tag Location: 34 - Data Location: 152 - value: b'iPhone 15 Pro\x00'
2026-01-18 11:46:29,326 | DEBUG | load:941 | tag: Orientation (274) - type: short (3) - value: b'\x00\x01'
2026-01-18 11:46:29,326 | DEBUG | load:941 | tag: XResolution (282) - type: rational (5) Tag Location: 58 - Data Location: 166 - value: b'\x00\x00\x00H\x00\x00\x00\x01'
2026-01-18 11:46:29,326 | DEBUG | load:941 | tag: YResolution (283) - type: rational (5) Tag Location: 70 - Data Location: 174 - value: b'\x00\x00\x00H\x00\x00\x00\x01'
2026-01-18 11:46:29,326 | DEBUG | load:941 | tag: ResolutionUnit (296) - type: short (3) - value: b'\x00\x02'
2026-01-18 11:46:29,326 | DEBUG | load:941 | tag: Software (305) - type: string (2) Tag Location: 94 - Data Location: 182 - value: b'17.5.1\x00'
2026-01-18 11:46:29,326 | DEBUG | load:941 | tag: DateTime (306) - type: string (2) Tag Location: 106 - Data Location: 190 - value: b'2024:07:11 13:00:58\x00'
2026-01-18 11:46:29,326 | DEBUG | load:941 | tag: HostComputer (316) - type: string (2) Tag Location: 118 - Data Location: 210 - value: b'iPhone 15 Pro\x00'
2026-01-18 11:46:29,326 | DEBUG | load:941 | tag: ExifIFD (34665) - type: long (4) - value: b'\x00\x00\x00\xe0'
2026-01-18 11:46:29,326 | DEBUG | load:941 | tag: GPSInfoIFD (34853) - type: long (4) - value: b'\x00\x00\t\xe6'
2026-01-18 11:46:29,358 | INFO | generate_rotation_set:766 | generate_rotation_set called: model=Stable Zero123, angle=30.0, steps=75, frames=3
2026-01-18 11:46:29,358 | INFO | generate_rotation_set:785 | Using model: Stable Zero123
2026-01-18 11:46:29,358 | INFO | generate_rotation_set:786 | Preprocessing image (input res: 512px)...
2026-01-18 11:46:29,358 | INFO | preprocess_image:566 | preprocess_image called: size=256, input_res=512, rotation=0.0, auto_balance=True
2026-01-18 11:46:29,358 | DEBUG | preprocess_image:583 | Input image: mode=RGB, size=(1116, 1611)
2026-01-18 11:46:29,358 | DEBUG | preprocess_image:599 | Downscaling from 1116x1611 to 354x512
2026-01-18 11:46:29,365 | INFO | preprocess_image:603 |   Removing background...
2026-01-18 11:46:29,366 | DEBUG | remove_background_enhanced:298 | remove_background_enhanced called, image mode=RGB, size=(354, 512)
2026-01-18 11:46:29,366 | INFO | get_rembg_session:119 | Initializing rembg session...
